n_per_group,power_d_0_5
10,0.18509565629116606
15,0.2624430338652332
20,0.3379390289250409
25,0.4101003324420289
30,0.47789652076016464
35,0.5406879163734188
40,0.5981469011410994
45,0.6501855083984249
50,0.696893405533384
55,0.7384865740781263
60,0.7752658885125877
65,0.8075844281216787
70,0.8358222658394392
75,0.8603675134255089
80,0.8816024991810981
85,0.8998940794178061
90,0.915587218953826
95,0.929001107737711
100,0.9404272037724144
105,0.9501287033887202
110,0.9583410371601266
115,0.9652730732128563
120,0.9711087800141295
125,0.9760091590250639
130,0.9801143052120153
135,0.9835454917214327
140,0.9864072054075069
145,0.9887890836371533
150,0.9907677210375244
